section|content
energy|7.4.3
Strategy|3: Enhance Disaster Risk Reduction and Response To enhance disaster risk management, the Government will strengthen disaster risk reduction, enhance early warning systems for timely action and disaster preparedness for effective response to build back better in recovery, rehabilitation and reconstruction. Further, the Government will undertake disaster risk assessments, establish emergency operation centres, community-based disaster risk management programmes and post-disaster recovery activities for resilience building. With the implementation of these interventions, it is expected that disaster risks and losses will reduce by 10 percent per annum over the five-year period. Climate information services Disaster preparedness and mitigation Disaster response and recovery EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Strategies and Programmes 1. Strengthen climate change adaptation a) Institutional framework strengthening Climate change mainstreaming Long-term adaptation planning Nature-based solutions Sustainable land, forest and water management Sustainable
agriculture|Climate-resilient infrastructure development 2. Strengthen climate change mitigation a) Sustainable consumption and production Sustainable land management Pollution prevention and control Greenhouse gas transparency framework Sustainable
agriculture|promotion Sustainable forest management Technology development and transfer Green and renewable
energy|3. Enhance disaster risk reduction and response a) Climate information services Disaster preparedness and mitigation Disaster response and recovery 7.5
DEVELOPMENT OUTCOME|2: SUSTAINABLE ENVIRONMENT AND NATURAL The sustainable management of the environment, ecosystems and natural resources is necessary as it supports the provision of basic human needs, such as clean air, water, fertile land for food and animal production, as well as inputs for other production processes. It also provides functioning services that contribute to the control of soil erosion, floods, disease proliferation and regulation of the climate. The Government will, therefore, promote protection, conservation, restoration and rehabilitation of the environment, ecosystems and natural resources. This will be done mainly through the promotion of integrated and community-based natural resources management systems. 7.5.1
Strategy|1: Promote Integrated Environmental Management During the Plan period, the focus will be on reversing unsustainable environmental and natural resources management practices. Specific measures to be implemented will be: building capacity in environmental protection and control institutions, including local authorities, to restore and protect degraded ecosystems, landscapes and water catchment areas; strengthening monitoring and environmental assessments. Other measures will include the promotion of sustainable consumption and production, including recycling, reducing resource use and reusing of resources in line with the circular economy principles and norms. The Government will also enhance compliance monitoring of industries, enforce effective management of hazardous chemicals and other waste as well as improve environmental quality monitoring and tracking. For other ecologically sensitive areas and forests, the Government will embark on restoration and management of wetlands, headwaters and riverine, afforestation and reforestation and will promote the establishment and development of commercial plantations as well as promote value-addition to forest products. The Government will also strengthen research and technology development while addressing illegal forest land usage. With the implementation of these interventions, it is expected that compliance to environmental standards and guidelines will increase to 65 percent by 2026 from 43 percent in 2021.
Socio-economic|transformation for improved livelihoods a) Pollution prevention and control b) Chemical and waste management c) Environmental compliance tracking d) Environmental services valuation e) Urban and regional planning 7.5.2
Strategy|2: Enhance Natural Resources Management The Government will implement programmes aimed at reversing the growing threats to natural resources, ranging from habitat transformation, encroachment, uncontrolled wildfires and invasive species. Among the key interventions will be to enhance community participation in natural resource management. The operations of committees responsible for the management of natural resources, , game management areas, forests and water will therefore, be strengthened. Further, the Government will promote the quantification and valuation of natural resources and ecosystem services and operationalise conservation plans for critical wetlands. The Government will also strengthen research and technology development while addressing illegal land-use change with local authorities and other relevant institutions and stakeholders. A major policy shift during the 8NDP period will be to ban the unsustainable production and consumption of charcoal by 2025. In this regard, measures will be put in place to protect the livelihoods of those in the charcoal value chain and promote alternative
energy|sources for charcoal users. With the implementation of these interventions, it is expected that the deforestation rate will reduce to 120,000 hectares of forest cover per annum by 2026 from 172,000 hectares of forest cover per annum in a) Sustainable land and forest management b) Sustainable wildlife and fisheries management c) Urban and land use planning d) Community-based natural resources management e) Water catchment protection and conservation f) Natural resource valuation and accounting Strategies and Programmes 1. Promote integrated environmental management a) Pollution prevention and control b) Chemical and waste management c) Environmental compliance tracking d) Environmental services valuation e) Urban and regional planning 2. Enhance natural resources management a) Sustainable land and forest management b) Sustainable wildlife and fisheries management c) Urban and land use planning d) Community based natural resources management e) Water catchment protection and conservation f) Natural resource valuation and accounting EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 8. STRATEGIC DEVELOPMENT AREA 4: GOOD
GOVERNANCE|ENVIRONMENT Good
governance|entails respect for human rights and freedoms, entrenching transparency and accountability, increasing participation, strengthening the democratic process, enhancing access to justice, observance of the rule of law and upholding national values and principles. It also entails having strong and independent institutions. Good
governance|is an important precursor for transforming the economy, sustaining economic growth and promoting human dignity, thereby safeguarding lives and livelihoods. This strategic development area will therefore focus on strengthening the policy, legal and institutional framework for good
governance|, as well as enhancing the rule of law, human rights and constitutionalism. 8.2 CURRENT SITUATION Over the past few years, the Government has undertaken various
governance|reforms. These, among others, included the development of the first-ever National Legal Aid Policy in 2018, which aims to increase access to justice for all, particularly the poor and vulnerable in society. Following the launch of the Policy, 26,097 clients were assisted with legal services in 2021 compared to 9,335 clients in 2017. Zambia’s Rule of Law Index also improved from -0.25 in 2016 to 0.47 in 2020, surpassing the planned 7NDP end-target of 0.25. Nonetheless, the speedy dispensation of justice remains a challenge due to several factors, among them being the inadequate number of qualified and practicing lawyers. The ratio of judicial officers to population continued to be unfavourable, especially at the High Court level, where on average, one judge dealt with about 264 cases in 2019. Further, inadequate numbers and types of courts contributed to the build-up of the backlog of cases. Compounding this problem has been the lack of an integrated case flow management system under the justice system in the processing of cases. In 2021, the Zambia Correctional Service facilities, with a holding capacity of only 10,600, accommodated 21,400 prisoners. Additionally, the National Prosecution Authority was decentralised to only 64 out of 116 districts To promote a decentralised and democratically elected system of
governance|that enhances community participation in decision-making, the Government continued to implement the National Decentralisation Policy. While some progress was recorded in areas such as political and administrative decentralisation, the actualisation of full devolution was yet to be attained. The provision of public services related to
health|,
education|,
agriculture|, public safety and order have been inadequate due to below optimal staffing levels. For these sectors, the number of specialised personnel remains low. There is, therefore, need to enhance personnel specialisation. Further, public infrastructure and equipment for the delivery of public services are poorly maintained, leading to low quality of public To enhance transparency and accountability in the utilisation of public resources, the Public Finance Management Act No. 1 of 2018, the National Planning and Budgeting Act No. 1 of 2020 and the Public Procurement Act No. 8 of 2020 were enacted. Among other objectives, the three pieces of legislation seek to strengthen public financial management, adherence to procurement guidelines as well as linking the national planning and budgeting processes. In addition, the Public Audit Act No. 29 of 2016 was enacted
Socio-economic|transformation for improved livelihoods to provide a framework for promoting efficiency, accountability, effectiveness and transparency in public administration through effective oversight and audit of public resources and performance. The country also undertook sensitisation and advocacy campaigns on public finance management. Further, the Government accelerated the implementation of the e-government reform agenda to make government processes more transparent and enhance accountability in public service delivery. A firm foundation was also created for the implementation of decentralisation reforms through policy and legal reforms. In addition, the Statistics Act No. 13 of 2018 was enacted to set the basis for the strengthening of national data and information systems and the restructuring of the national statistics authority into the Zambia Statistics Agency (ZamStats). It is worth noting that the country’s statistical capacity index improved to 62.5 in 2020 from 52 in 2017 against the 7NDP target of 60. Though progress was recorded in some areas of
governance|, the Corruption Perception Index (CPI) for Zambia dropped to 33 out of 100 in 2021 from 38 in 2013. This could in part be on account of low accessibility by the majority of citizens to institutions charged with ensuring transparency and accountability as they are mostly centralised. Other challenges relate to the low empowerment of citizens to hold public officers accountable, inefficiencies in the delivery of public services, and ineffective grievance resolution mechanisms. These challenges have hampered the fight against corruption. The country continues to record low participation in the democratic and political
governance|processes as well as decision-making by women, the youth and PWDs. As of August 2021, the proportion of women in Parliament reduced to 13 percent from 18.1 percent in 2016. The youth constituted four percent of the Members of Parliament with PWDs constituting less than one percent. In 2021, elected female Mayors and Council Chairpersons increased to 25 percent and 10 percent from 12 percent and 7 percent in 2016, respectively. There is, therefore, need to promote the participation of women, youth and PWDs in decision- To promote constitutionalism and the rule of law, the Constitution of Zambia was amended in 2016 to enhance human rights and strengthen
governance|institutions. Further, to fully operationalise the enhanced provisions, subsidiary legislation was enacted. It is, however, necessary to undertake constitutional reforms through a consultative process to achieve a constitution that reflects the people’s aspirations. The Government has been implementing reforms to strengthen the oversight functions of the Legislature. However, more needs to be done to increase oversight functions in the implementation of NDPs. There is also need for increased utilisation of available public participation platforms such as constituency offices. The realisation of a conducive
governance|environment has largely been constrained by the slow pace of implementation of key reforms. These include performance management, e-government, decentralisation, public finance management, parliamentary and judicial reforms. Additionally, inadequate capacity of
governance|and investigative agencies to investigate and prosecute corruption and related crimes, such as financial and economic offences, has inhibited the creation of a good
governance|environment. There is also low enforcement of recommendations from the Legislature and other oversight institutions. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Another constraint is inadequate knowledge among citizens and other interest groups on the existing platforms for engagement of elected representatives, and other
governance|agencies. As a result, interest groups and citizens have not effectively held their leaders accountable. Other constraints include inadequate infrastructure and limited utilisation of ICT solutions, thereby adversely affecting the efficient delivery of services. 8.4
DEVELOPMENT OUTCOME|1: IMPROVED POLICY AND
GOVERNANCE|ENVIRONMENT During the Plan period, the Government will ensure that a conducive and stable policy and legislative environment is put in place. This will enhance certainty and instil confidence among citizens, businesses and investors. To achieve this, the Government will continue to strengthen the existing policy, legal and institutional framework. The Government will also establish inclusive consultative processes and undertake reforms that will improve interactions with citizens, the private sector, civil society and the public sector, 8.4.1
Strategy|1: Decentralise Public Service Delivery Systems During the Plan period, the Government will focus on actualising decentralisation of functions from central government to the sub-national levels to enhance public service delivery. This is in line with the National Decentralisation Policy of 2013 and its implementation framework. It is therefore, envisaged that local authorities will play a major role in public service delivery at the district level and will coordinate development Further, local government reforms will be implemented to enhance financial management, revenue generation and investment in capacity enhancement for effective delivery of
socio-economic|development. Fiscal mapping and decentralisation of resources to the sub-national levels through effective implementation of the National Decentralisation Policy of 2013 will be undertaken. The capacity of communities will be strengthened to manage and implement programmes with high social and economic impact under the CDF. This will improve participation of lower-level
governance|structures in identification of local priority projects, and beneficiaries of empowerment and bursary support programmes. The local planning process will also be harmonised and strengthened, anchored on the full operationalisation of the National Planning and Budgeting Act No. 1 of 2020 and the Urban and Regional Planning Act No. 3 a) Sector decentralisation b) Human resource management reforms c) Fiscal decentralisation d) Policy and legal reforms e) Capacity development
Socio-economic|transformation for improved livelihoods 8.4.2
Strategy|2: Strengthen National Data and Information Systems The Government will fully operationalise the Statistics Act No. 13 of 2018 for an integrated National Statistical System to increase the coverage, production, access to and use of quality data as well as statistics for national development. Further, efforts will be placed on improving the coverage of civil and vital registration systems as well as improving administrative data systems. Hence, the civil and vital registration system will be decentralised, to increase coverage for the registration of vital events and comply with the human rights of citizens, including operationalisation of the Integrated National Registration Information System (INRIS). The INRIS will lead to enhanced security systems through identification of citizens, and optimisation of various public services, such as tax administration, social services and
health|insurance provision. The Government will also strengthen the use of information management systems across all sectors. a) Integrated information management systems b) Infrastructure development c) National statistical reforms d) Human resource development e) Integrated National Registration Information System 8.4.3
Strategy|3: Strengthen Transparency and Accountability Mechanisms In the 8NDP period, the Government will scale-up interventions to promote transparency and accountability. To this effect,
governance|and investigative institutions, such as the Office of the Auditor-General and the Anti-Corruption Commission, will be capacitated to enhance transparency and accountability. In an effort to take services closer to the people, the Office of the Public Protector will be decentralised to provincial centres. This will be done to step up the enforcement mechanisms for upholding principles of integrity among those charged with the responsibility of managing public resources and providing public services. This is envisaged to increase investor and citizen confidence that will drive the economic transformation and job creation agenda. The Government will strengthen internal control systems and operations of audit committees to enhance transparency. Further, the Government will enhance access to public information by undertaking media reforms. The oversight role of the Legislature will also be enhanced to promote transparency and accountability, including public finance management. Additionally, the National Anti-Corruption Policy of 2009 and legislation relating to economic crimes and money laundering will be revised. During the Plan period, a conducive environment will be created for active participation of non-governmental organisations (NGOs) in national development through the revision of the Non-Governmental Organisations Act No. 16 of 2009. This will improve coordination of NGOs in the country. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 a) Public finance management reforms c) Public procurement management e) Audit and risk management f) Parliamentary reforms h) Policy and legal reforms 8.4.4
Strategy|4: Strengthen Democratic and Political
Governance|The separation of powers among the three arms of Government will, during the Plan period, be enhanced. This will entail an effective Judiciary that is accessible and delivers timely justice and enhanced oversight by the National Assembly of Zambia for effective checks and balances on the Executive. A level playing field for the participation and inclusion of marginalised and underrepresented sections of society such as women, the youth and PWDs in the political arena will be promoted through electoral reforms. The participation of the marginalised in the public sector, through recruitment and appointment to decision-making positions, will equally be promoted. This will be actualised through affirmative actions that boost the participation of marginalised groups. In addition, the decentralisation of electoral processes and continuous voter registration will be implemented. Elected representatives will also be supported to strengthen democratic processes. Further, parliamentary reforms will be undertaken to reposition the National Assembly of Zambia in national development. The Government will develop the first-ever National
Governance|Policy to coordinate the promotion and application of
governance|principles, practices and standards across all sectors. The policy will be a blueprint for championing the rule of law, accountability and transparency, corporate
governance|, democracy and political
governance|as well as the prudent utilisation of public resources. In line with the National Gender Policy, affirmative actions will be implemented towards the progressive attainment of the target of 50-50 percent participation of men and women in decision-making positions. With these interventions it is expected that the percentage of female Members of Parliament will increase to 50 percent in 2026 from 18 percent in 2021. a) Policy, legal and judicial reforms b) Electoral reforms c) Parliamentary reforms d) Affirmative action
Socio-economic|transformation for improved livelihoods 8.4.5
Strategy|5: Strengthen Public Service Performance Management Systems The public service will, during the Plan period, strengthen systems to promote effectiveness and efficiency in the delivery of public goods and services to support economic transformation. This will be done through leveraging on ICT for accessing public services, setting enabling policies and business regulations and following laid down procedures. Further, the Government will promote effective leadership, professionalism, meritocracy, performance, and accountability among public officers, as well as institutions in the delivery of services to citizens. The Government will also promote the maintenance of public infrastructure and equipment to enhance public service provision for social and economic development. Additionally, the Government will take advantage of PPP initiatives in the development, maintenance and management of public infrastructure. a) Electronic government b) Performance management system c) Public infrastructure maintenance 8.4.6
Strategy|6: Strengthen Land Management and Administration Land reforms will be undertaken to fully operationalise the National Lands Policy of 2021. A review of various statutes relating to land management systems will be undertaken to ensure enhanced access to land. This will contribute to increased productivity among the citizenry and equity in access to productive resources. Further, the Government will decentralise land registration to provincial centres and digitise the process of issuance of certificates of land title to ensure efficient land administration. a) National land titling b) Land management and administration c) Land information management system d) Urban and regional planning e) Reaffirmation of international land boundaries EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Strategies and Programmes 1. Decentralise public service delivery systems a) Sector decentralisation Human resource management reforms Fiscal decentralisation Policy and legal reforms 2. Strengthen national data and information systems a) Integrated information management systems Infrastructure development National statistical reforms Human resource development Integrated National Registration Information System 3. Strengthen transparency and accountability mechanisms Public finance management reforms Public procurement management Audit and risk management Parliamentary reforms Policy and legal reforms 4. Strengthen democratic and political
governance|a) Policy, legal and judicial reforms Parliamentary reforms 5. Strengthen public service performance management systems a) Electronic government b) Performance management system c) Public infrastructure maintenance 6. Strengthen land management and administration a) National land titling Land management and administration Land information management system Urban and regional planning Reaffirmation of international land boundaries 8.5.
DEVELOPMENT OUTCOME|2: IMPROVED RULE OF LAW, HUMAN RIGHTS AND To achieve improved rule of law, human rights, and constitutionalism, the Government will strengthen the criminal justice system. This will be attained through the review of the Constitution, promotion of human rights and enhancement of access to justice, and legal aid services. In addition, will be the development of human and technical capacity, modernisation of judicial systems, as well as the development of infrastructure, 8.5.1
Strategy|1: Strengthen Human Rights and Constitutionalism Comprehensive constitutional reforms will be undertaken to enhance good
governance|and strengthen the protection of human rights which are critical ingredients to the wellbeing of citizens. Further, subsidiary laws will be aligned to the Constitution. The Government will also progressively decentralise and enhance the capacity of
governance|institutions to improve access, and the quality of service delivery. a) Constitutional reforms b) Human rights protection c) Capacity development d)
Governance|institutions decentralisation
Socio-economic|transformation for improved livelihoods 8.5.2
Strategy|2: Strengthen the Criminal and Justice System and Enhance the Rule of Law During the Plan period, efforts will be made to progressively decentralise and modernise the judicial system to expedite dispensation of justice. Offender management will be enhanced and reforms to review and decentralise the parole framework undertaken. In addition, the juvenile justice framework will be reviewed and the system of rehabilitation of drug-related offenders strengthened. Legal reforms, such as the review of the Public Order Act and Penal Code, will be undertaken. This will lead to a safe and stable environment that will contribute to promoting peace and unity to spur investment in the country. a) Crime prevention, detection and prosecution b) Infrastructure development c) Human resource development e) Fast track courts f) Judicial and security system automation g) Offender management h) Constitutional reforms
Strategy|and Programmes 1. Strengthen human rights and constitutionalism a) Constitutional reforms b) Human rights protection c) Capacity development d)
Governance|institutions decentralisation 2. Strengthen the criminal and justice system and enhance rule of law a) Crime prevention, detection and prosecution b) Infrastructure development c) Human resource development d) Circuit courts e) Fast track courts f) Judicial and security system automation g) Offender management h) Constitutional reforms EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 PART V: MANAGEMENT OF THE PLAN
Socio-economic|transformation for improved livelihoods 9. IMPLEMENTATION AND COORDINATION FRAMEWORK The realisation of the 8NDP
development outcome|s depends on a comprehensive coordination framework that guides the implementation of the Plan. The coordination and implementation mechanisms will be government-led with the full participation of various stakeholders, including non-state actors at national and The implementation and coordination framework of the Plan recognises the structures and institutional arrangements as provided for under the National Planning and Budgeting Act No. 1 of 2020. The National Development Coordinating Committee (NDCC), Cluster Advisory Groups (CAGs), Provincial Development Coordinating Committees (PDCCs) and District Development Coordinating Committees (DDCCs) will coordinate and provide oversight in the implementation of the Plan. In addition, the Ward Development Committees (WDCs) will coordinate the implementation of development interventions at the ward level. These structures will ensure transparency and broad stakeholder participation in the national planning and budgeting processes and also enhance accountability for development results. The implementation of the Plan will be undertaken using an integrated multi-sectoral approach. This entails the clustering of stakeholders in line with the strategic development areas of the Plan to coordinate in the planning, budgeting, and implementation and monitoring of interventions. These interventions relate to programmes, projects and activities with specific deliverables to be generated semi-annually, annually, and at the end of the Plan period. Ministries, provinces and other spending agencies (MPSAs) and non-state institutions assigned to implement a particular programme, project or activity in the 8NDP will be required to ensure that they effectively coordinate the planning, budgeting, implementation and monitoring of the performance of that particular intervention. Interventions that require joint efforts by various development actors will be expected to be implemented in a coordinated manner, with a lead institution working together with relevant actors to ensure effective planning, budgeting and implementation. The Ministry responsible for national planning will provide guidelines for effective coordination and implementation of the 8NDP interventions. This will be complemented by the provision of technical support to ensure that the development coordination and implementation mechanisms are effective for the discharge of the assigned functions and responsibilities. MPSAs, including local authorities, will be required to develop institutional strategic and implementation plans, which will specify how each ministry, provincial office, local authority and spending agency will contribute to the achievement of the development targets set out in the A system of accounting for development results will be elaborated in the Implementation Plan of the the participation of state, non-state actors and the general citizenry in line with the National Planning and Budgeting Act No. 1 of 2020. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 9.2 INSTITUTIONAL ARRANGEMENTS The institutional arrangements for coordinating the implementation of the 8NDP will include oversight bodies, implementing institutions and advisory structures. The following institutions will play key roles in ensuring effective implementation of the Plan in line with the set objectives and targets: 9.2.1 National Assembly The National Assembly will approve the Plan and play an oversight role to ensure that the Government delivers on its mandate and that the process for the achievement of
development outcome|s is based on principles of accountability, transparency and value for money. Further, the National Assembly will approve the national budgets to operationalise the implementation of the strategies and programmes in the 8NDP. The Cabinet will provide policy direction to ensure that the
development outcome|s of the Plan are realised. It will facilitate the provision of an enabling environment for the successful implementation of the Plan. Further, it will interface with the National Assembly through the introduction of laws and be held accountable for implementation of the Plan. Cabinet Office will facilitate the optimal operation of the public sector by ensuring policy consistency and coherence, effective implementation of public sector reforms and implementation of Cabinet decisions. In particular, Cabinet Office will ensure effective human resource management for continuity of public sector and government operations, optimal staffing levels in government institutions as well as the enforcement of performance-based management for efficient and effective public service delivery. Additionally, Cabinet Office will facilitate the cascading of the 8NDP into institutional strategic and implementation plans. 9.2.4 Office of the Auditor-General The Office of the Auditor-General (OAG) will support the implementation of the 8NDP by examining whether public resources are spent efficiently and effectively in compliance with existing rules and regulations. Further, the OAG will undertake performance audits of some programmes in the Plan. 9.2.5 Ministry Responsible for Finance and National Planning The Ministry responsible for finance and national planning will coordinate the design, implementation, monitoring and reporting of national development interventions. This will involve coordinating all advisory bodies and supporting the implementation, monitoring and evaluation processes of the Plan. Further, the Ministry will coordinate the appraisal of public projects and investments to ensure value for money. The Ministry will also facilitate resource mobilisation for various Plan interventions to ensure implementation. It will coordinate the formulation of annual and medium-term budgets as well as ensure efficient execution of budgets. In this regard, the Ministry will ensure the alignment of budgets to the 8NDP.
Socio-economic|transformation for improved livelihoods 9.2.6 Ministry of Local Government and Rural Development The Ministry responsible for local government and rural development will coordinate the implementation of the 8NDP by local authorities. It will also ensure that ward development plans and Integrated Development Plans (IDPs) are consistent with the development aspirations of the 8NDP. 9.2.7 House of Chiefs According to Article 169 (5.) (b) and (d) of the Constitution, the role of the House of Chiefs is to make recommendations to the National Assembly and the local authorities regarding
socio-economic|development issues. In this regard, the House of Chiefs will play a key role in initiating, discussing and making recommendations regarding development issues to both the National Assembly and local authorities with respect to the implementation of the 8NDP. 9.2.8 Ministries, Provinces and other Spending Agencies Ministries, Provinces and other Spending Agencies (MPSAs) will coordinate the implementation of the 8NDP interventions within their respective mandates and advisory bodies. In so doing, MPSAs will be required to develop institutional strategic and implementation plans that will specify how they will contribute to the achievement of the development targets set out in the 8NDP. 9.2.9 State-Owned Enterprises State-Owned Enterprises (SOEs) will undertake various commercial activities to complement private sector investments. SOEs will also generate resources to complement government revenues for the financing of the Plan and will further be expected to provide services, especially in areas where it is currently uneconomical for the private sector to operate. This will include the provision of
socio-economic|services such as electricity, water, sanitation, insurance, skills training, milling and agricultural marketing. In addition, they will partner with private companies to establish business operations in various sectors to mobilise investment funds in 9.2.10 Private Sector The private sector will be key in actualising economic transformation and job creation, as well as contributing to service delivery across all strategic development areas. To this end, the private sector will be expected to drive economic growth through increased investments and contribute towards resource mobilisation to finance the Plan. The Government will, therefore, strengthen dialogue with the private sector. 9.2.11 Civil Society Organisations Civil Society Organisations (CSOs) will complement Government efforts in implementing community-based projects including those aimed at reducing poverty, gender inequality, youth unemployment and supporting the underprivileged in society. Further, CSOs will provide advocacy as well as checks and balances in public
governance|. The Government will, therefore, enhance dialogue with CSOs with a view to strengthening EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 9.2.12 Cooperating and Development Partners The Government will collaborate with cooperating and development partners in the implementation of the development partners will be engaged through various dialogue platforms to ensure that their interventions are aligned to the 8NDP. 9.3 COORDINATION AND ADVISORY STRUCTURES Coordination of the 8NDP will be at national, sectoral, provincial, district and ward levels. This is in line with the decentralised planning, implementation, monitoring and evaluation processes (see Figure 13). 9.3.1 National Level Coordination and Implementation The NDCC will be the apex advisory body to the Cabinet on matters relating to NDPs and budgets. National level coordination will work towards enhancing synergies among stakeholders for efficient and effective implementation of programmes at all levels and galvanising the participation of state and non-state institutions in meeting targets for agreed-upon national indicators. 9.3.2 Sectoral Level Coordination and Implementation To facilitate the participation of state and non-state actors in the implementation and monitoring of the Plan, Cluster Advisory Groups (CAGs) will continue to be utilised. The CAGs will be constituted on the basis of the four strategic development areas of the 8NDP and will bring together relevant key stakeholders contributing to the achievement of the results for the various
development outcome|s of the Plan. 9.3.3 Provincial Level Coordination and Implementation To facilitate the participation of state and non-state actors in the implementation and monitoring of the Plan at provincial level, Provincial Development Coordinating Committees (PDCCs) will be utilised. The PDCCs will work to ensure that provinces deliver on the targets set in the Plan. The PDCCs will also provide oversight to districts. 9.3.4 District Level Coordination and Implementation The District Development Coordinating Committees (DDCCs) will ensure that non-state actors operating in the district collaborate with government institutions and agencies through joint planning, implementation and monitoring of district interventions. The collaboration will also involve the sharing of information on the development interventions being implemented. This will be done with a view to dealing with, among others, district-specific development challenges.
Socio-economic|transformation for improved livelihoods 9.3.5 Ward Development Committees Ward Development Committees (WDCs) are the lowest coordinating body for implementation of projects at community level for as well as in the monitoring and reporting of progress. This will be done in line with the objectives of the 8NDP. During the Plan period, WDCs will be fully operationalised to promote the participation of citizens in development at the district level. To this end, the capacities of these committees will be enhanced to allow for effective coordination of development programme outputs under various strategic development areas of the Plan. Figure 13: Overall Institutional Arrangements for Coordination EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 10. MONITORING AND EVALUATION FRAMEWORK The Monitoring and Evaluation (M&E) Framework for the 8NDP has been formulated to track progress towards the attainment of set developmental targets. The Framework also provides guidance to various stakeholders expected to provide oversight, coordination and implementation of 8NDP programmes. Actors in the M&E system include the Government, civil society and faith-based organisations, the private sector, cooperating and development partners, local authorities, traditional authorities, and the general citizenry. The 8NDP M&E Framework is anchored on the National Performance Framework for the Vision 2030, which articulates the long-term development results to be achieved by the country. Monitoring and evaluation of the 8NDP will be undertaken at national, provincial, district and ward levels by implementing and oversight institutions. The 8NDP will be managed using a results-based approach, with an emphasis on accountability and timeliness in the delivery of results. The results framework will take into account inputs, outputs, outcomes and impacts as indicated in Figure 14. Figure 14: Diagrammatic Representation of the 8NDP Results Framework Impact/Key Performance Indicators will be used to measure progress on the Plan’s Four Strategic Planned programme outputs will be tracked to measure plan implementation progress. Outcome Indicators will be used to measure intermediate results of the 8NDP. Consistent tracking of Inputs such as finances required to support the achievement of plan outputs will be outlined in Vision 2030 Long Term Development Results Implementation Process
Socio-economic|transformation for improved livelihoods To ensure effective reporting on progress, the national, provincial and district indicators will be aligned to national outputs, outcomes, and impact indicators. Measurement of these indicators will be done at all levels of the results chain. Utilisation of inputs will be measured through budget performance analysis. Output performance of the 8NDP will be monitored through tracking of programme outputs by ward, districts, provinces and CAGs at the national level. This information will feed into quarterly and annual to provide information to various stakeholders on programme and project implementation. Monitoring of the implementation of the 8NDP will be undertaken periodically in line with the agreed M&E Framework. Progress will be tracked using the results framework, encompassing agreed indicators and targets cascading from national to provincial, district and ward levels. Project implementation will be monitored to ensure the generation of planned outputs that feed into the attainment of key
development outcome|s and impacts. The mechanisms that will be used to monitor the implementation of the 8NDP programmes include the Management Monitoring System (MMS) and spot monitoring. 10.2.1 Management Monitoring System The MMS will automate 8NDP data and information management in order to achieve efficiency in M&E data processing and performance reporting. Tracking of 8NDP outcome targets, which include progress towards global and regional commitments, will also be done through the MMS. 10.2.2 Spot Monitoring At the national level, MPSAs and CAGs will conduct spot checks of the 8NDP programmes and projects under their charge to ensure that implementation is on track and to address any challenges that may negatively affect programme/project implementation. Spot checks will also be undertaken at provincial, district and ward levels. Reports from project site visits will focus on tracking programme and project outputs and measuring performance against set
development outcome|s. The reports will also include lessons learnt so as to improve programme implementation. 10.2.3 Annual Progress Report In accordance with the National Planning and Budgeting Act No. 1 of 2020, 8NDP Annual Progress Reports will be produced using data that will be uploaded onto the MMS. The reports will be tabled before the National Assembly in line with the provisions of the National Planning and Budgeting Act on or before the last Friday of May of each year. EIGHTH NATIONAL DEVELOPMENT PLAN (8NDP) 2022-2026 Evaluations of the 8NDP will focus on assessing the performance of outcome and impact indicators. Policy and programme reviews of specific social, economic or
governance|interventions in the Plan will be evaluated to gather information on optimal implementation approaches for such programmes. Further, 8NDP evaluations, including mid-term and final evaluations, will be undertaken from which policy recommendations 10.3.1 Mid-Term Review A Mid-Term Review (MTR) of the Plan will be undertaken to assess progress made towards meeting the achievement of Plan outcomes. The mid-term evaluation will involve an analysis of both Plan processes and intermediate outcomes/results. The purpose of the MTR is to generate evidence to inform the Plan interventions in subsequent years, as well as feed into the development and strategic focus of the next NDP. In accordance with the National Planning and Budgeting Act, the MTR report will be laid before the National Assembly, before or on the last Friday of May in the fourth year of implementation of the 8NDP. 10.3.2 Final Evaluation In line with the provisions of the National Planning and Budgeting Act, a final evaluation of the Plan will be undertaken to assess the impact and ascertain lessons learnt from implementation of the Plan. The final A Data Catalogue, that centralises all the key information (metadata) pertaining to the indicators that are included in the 8NDP, will be developed and published. The Data Catalogue will provide easy access to information relating to definitions, structure, source of information, collection method, quality and use of the data in the Plan. Further, the Catalogue will enable all practitioners and users to access and understand reasons for selecting the national indicators, how they are generated, the frequency of data generation and the purpose of the information being generated. This will ensure standardised generation of data and statistics on indicators. The Catalogue is also expected to contribute to improved quality of data used in NDP progress and performance reporting. National censuses and surveys conducted by the Zambia Statistics Agency (ZamStats) and other institutions will support the generation of data and statistics for the indicators in the 8NDP. Additionally, institutions will be required to routinely collect and process administrative data for use in the 8NDP monitoring and evaluation process. To this end, a national statistical calendar will be developed and published to support the monitoring and evaluation function.
